41,용산구 이촌동,용강중학교,271명,90.90%,96.00%,92.60%,84.20%,7.20%,18명,247명
,,,,,,,,,(3명/15명),
42,마포구 염리동,서울여자중학교,157명,90.90%,97.50%,93.00%,82.20%,5.10%,7명,137명
,,,,,,,,,(1명/6명),
43,강남구 삼성동,봉은중학교,144명,90.50%,94.40%,90.30%,86.80%,0.90%,1명,102명
,,,,,,,,,(0명/1명),
44,양천구 목동,양정중학교,205명,90.40%,93.20%,88.30%,89.80%,4.30%,8명,183명
,,,,,,,,,(4명/4명),
45,서초구 서초동,서초중학교,256명,90.30%,96.10%,90.60%,84.40%,1.70%,4명,224명
,,,,,,,,,(1명/3명),
46,용산구 원효로4가,성심여자중학교,124명,90.30%,97.60%,91.90%,81.50%,0.00%,0명,91명
,,,,,,,,,(0명/0명),
47,노원구 중계동,상명중학교,314명,90.20%,94.60%,90.10%,86.00%,8.10%,18명,222명
,,,,,,,,,(5명/13명),
48,서대문구 천연동,동명여자중학교,133명,90.00%,97.80%,88.70%,83.60%,6.70%,7명,103명
,,,,,,,,,(0명/7명),
49,강동구 고덕동,명일중학교,253명,89.90%,93.70%,87.70%,88.50%,3.10%,9명,287명
,,,,,,,,,(0명/9명),
50,강남구 역삼동,휘문중학교,265명,89.90%,92.10%,89.80%,87.90%,1.50%,4명,260명
,,,,,,,,,(2명/2명),
51,구로구 신도림동,신도림중학교,354명,89.90%,92.60%,91.00%,86.10%,3.80%,13명,338명
,,,,,,,,,(6명/7명),
52,영등포구 여의도동,여의도중학교,320명,89.80%,93.80%,89.70%,85.90%,4.00%,10명,247명
,,,,,,,,,(2명/8명),
53,서초구 반포동,방배중학교,152명,89.70%,97.40%,91.40%,80.30%,3.10%,5명,160명
,,,,,,,,,(1명/4명),
54,성북구 성북동,동구여자중학교,174명,88.80%,97.10%,87.30%,82.20%,5.00%,6명,120명
,,,,,,,,,(0명/6명),
55,노원구 하계동,불암중학교,362명,88.80%,93.10%,88.10%,85.30%,10.00%,34명,339명
,,,,,,,,,(2명/32명),
56,성북구 돈암동,개운중학교,225명,88.70%,94.70%,89.30%,82.20%,5.00%,9명,180명
,,,,,,,,,(1명/8명),
57,동작구 신대방동,대방중학교,310명,88.60%,95.50%,87.70%,82.60%,5.80%,16명,273명
,,,,,,,,,(8명/8명),
58,강남구 도곡동,대치중학교,195명,88.50%,93.80%,89.70%,82.10%,4.20%,8명,187명
,,,,,,,,,(2명/6명),
59,강서구 염창동,염창중학교,337명,88.50%,92.60%,86.90%,86.00%,3.60%,10명,272명
,,,,,,,,,(6명/4명),
60,송파구 가락동,가원중학교,210명,88.40%,92.40%,90.00%,82.90%,1.30%,2명,147명
,,,,,,,,,(1명/1명),
61,강남구 도곡동,은성중학교,138명,88.10%,94.20%,89.10%,81.20%,2.10%,3명,138명
,,,,,,,,,(0명/3명),
62,영등포구 당산동5가,당산서중학교,192명,88.10%,96.30%,88.50%,79.70%,0.90%,1명,105명
,,,,,,,,,(1명/0명),
63,성북구 돈암동,성신여자중학교,213명,88.00%,96.20%,85.90%,82.10%,7.90%,15명,189명
,,,,,,,,,(0명/15명),
64,성북구 길음동,길음중학교,235명,88.00%,94.00%,86.00%,84.20%,8.80%,20명,226명
,,,,,,,,,(6명/14명),
65,송파구 방이동,보성중학교,183명,87.80%,90.20%,88.00%,85.30%,2.00%,3명,150명
,,,,,,,,,(0명/3명),
66,은평구 진관동,신도중학교,273명,87.80%,94.20%,86.40%,82.80%,1.90%,6명,313명
,,,,,,,,,(2명/4명),
67,서초구 방배동,동덕여자중학교,179명,87.70%,93.90%,90.00%,79.30%,1.50%,2명,129명
,,,,,,,,,(1명/1명),
68,노원구 중계동,중계중학교,351명,87.60%,93.20%,86.00%,83.80%,5.50%,16명,289명
,,,,,,,,,(2명/14명),
69,강서구 가양동,성재중학교,148명,87.60%,93.90%,84.50%,84.50%,2.20%,3명,131명
,,,,,,,,,(0명/3명),
70,송파구 잠실7동,정신여자중학교,327명,87.40%,94.80%,87.80%,79.80%,3.80%,12명,310명
,,,,,,,,,(0명/12명),
71,송파구 방이동,방산중학교,199명,87.40%,96.00%,81.90%,84.40%,1.30%,2명,148명
,,,,,,,,,(2명/0명),
72,강동구 상일동,한영중학교,254명,87.40%,93.70%,86.60%,81.90%,6.80%,15명,220명
